Index 	 distance 	 confWeight 	 uniFreq 	 bkwdFreq 	 fwdFreq 	 Output 	 Predicted
1247 	0.666666666667 	0.500149387511 	0.00196938501477 	0.0 	0.00492610837438 	0.0 	 1.0
1464 	0.666666666667 	0.500149387511 	0.00134276251007 	0.000632511068944 	0.00394088669951 	0.0 	 1.0
2082 	0.666666666667 	0.499850612489 	8.95175006714e-05 	0.0 	0.000985221674877 	0.0 	 1.0
2342 	0.666666666667 	0.500448162534 	0.0 	0.0 	0.0 	0.0 	 1.0
3113 	0.666666666667 	0.506423662982 	0.0 	0.0 	0.0 	0.0 	 1.0
3672 	1.0 	0.0 	0.0207680601558 	0.0 	0.184236453202 	0.0 	 1.0
4158 	0.666666666667 	0.500149387511 	0.000716140005371 	0.0 	0.000985221674877 	0.0 	 1.0
4265 	0.666666666667 	0.566178667463 	0.0 	0.0 	0.0 	0.0 	 1.0
4496 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
4809 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
5132 	0.333333333333 	0.354944726621 	0.30265866977 	0.00379506641366 	0.00197044334975 	0.0 	 1.0
5381 	0.666666666667 	0.499850612489 	0.0 	0.0 	0.0 	0.0 	 1.0
6360 	0.666666666667 	0.501045712578 	0.0 	0.0 	0.0 	0.0 	 1.0
6513 	0.333333333333 	0.354944726621 	0.30265866977 	0.00379506641366 	0.00197044334975 	0.0 	 1.0
7993 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
8198 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
9642 	0.666666666667 	0.500149387511 	0.00134276251007 	0.00189753320683 	0.00394088669951 	0.0 	 1.0
10412 	0.333333333333 	0.354944726621 	0.156745143676 	0.0 	0.00197044334975 	0.0 	 1.0
10432 	0.666666666667 	0.502240812668 	0.0 	0.000632511068944 	0.000985221674877 	0.0 	 1.0
10742 	0.666666666667 	0.504332237825 	0.000268552502014 	0.0 	0.0 	0.0 	 1.0
10811 	0.333333333333 	1.0 	0.000537105004028 	0.0 	0.0 	0.0 	 1.0
10843 	0.666666666667 	0.504332237825 	0.000268552502014 	0.0 	0.0 	0.0 	 1.0
10977 	0.333333333333 	1.0 	0.000537105004028 	0.0 	0.0 	0.0 	 1.0
11155 	0.333333333333 	1.0 	0.000537105004028 	0.0 	0.0 	0.0 	 1.0
11202 	0.333333333333 	1.0 	0.000537105004028 	0.0 	0.0 	0.0 	 1.0
11387 	0.666666666667 	0.499850612489 	0.0 	0.0 	0.0 	0.0 	 1.0
11637 	0.666666666667 	0.501942037646 	0.0 	0.0 	0.0 	0.0 	 1.0
11880 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
11971 	0.666666666667 	0.503137137735 	0.000895175006714 	0.0 	0.0 	0.0 	 1.0
12094 	0.333333333333 	1.0 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
12100 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
12557 	0.666666666667 	0.501942037646 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
12666 	0.666666666667 	0.501942037646 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
12787 	0.333333333333 	0.354944726621 	0.0 	0.0 	0.0 	0.0 	 1.0
12953 	0.666666666667 	0.503137137735 	0.000895175006714 	0.0 	0.0 	0.0 	 1.0
13523 	0.333333333333 	0.132656109949 	0.0643630829827 	0.435167615433 	0.0 	0.0 	 1.0
13547 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
13656 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
13959 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
14158 	0.333333333333 	0.354944726621 	0.0517411153881 	0.0 	0.0 	0.0 	 1.0
14184 	0.333333333333 	0.354944726621 	0.0 	0.0 	0.0 	0.0 	 1.0
14209 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
14312 	0.333333333333 	1.0 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
14318 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
14459 	0.666666666667 	0.503137137735 	0.000895175006714 	0.0 	0.0 	0.0 	 1.0
14489 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
14787 	0.666666666667 	0.503137137735 	0.000895175006714 	0.0 	0.0 	0.0 	 1.0
14958 	0.333333333333 	1.0 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
14964 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
15324 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
15523 	0.333333333333 	0.354944726621 	0.156745143676 	0.0 	0.199014778325 	0.0 	 1.0
15982 	0.333333333333 	0.354944726621 	0.156745143676 	0.0683111954459 	0.00492610837438 	0.0 	 1.0
16590 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
16597 	0.333333333333 	1.0 	0.0 	0.0 	0.0 	0.0 	 1.0
16734 	0.666666666667 	0.572452942934 	0.000268552502014 	0.00126502213789 	0.0 	0.0 	 1.0
16735 	0.666666666667 	0.506124887959 	0.0 	0.000632511068944 	0.0 	0.0 	 1.0
16771 	0.666666666667 	0.527636689573 	0.0 	0.000632511068944 	0.0 	0.0 	 1.0
16772 	0.666666666667 	0.533014639976 	0.000179035001343 	0.00126502213789 	0.0 	0.0 	 1.0
16884 	0.666666666667 	0.572452942934 	0.000268552502014 	0.00126502213789 	0.0 	0.0 	 1.0
16885 	0.666666666667 	0.506124887959 	0.0 	0.000632511068944 	0.0 	0.0 	 1.0
17038 	0.666666666667 	0.527636689573 	0.0 	0.0 	0.0 	0.0 	 1.0
17039 	0.666666666667 	0.533014639976 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
17173 	0.666666666667 	0.566178667463 	0.000268552502014 	0.00126502213789 	0.0 	0.0 	 1.0
17175 	0.666666666667 	0.508813863161 	0.000179035001343 	0.00126502213789 	0.0 	0.0 	 1.0
17197 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
17537 	0.333333333333 	0.354944726621 	0.30265866977 	0.00379506641366 	0.181280788177 	0.0 	 1.0
17556 	0.666666666667 	0.527636689573 	0.0 	0.0 	0.0 	0.0 	 1.0
17557 	0.666666666667 	0.533014639976 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
18098 	0.666666666667 	0.499850612489 	0.0 	0.0 	0.0 	0.0 	 1.0
18185 	0.333333333333 	1.0 	0.0 	0.0 	0.000985221674877 	0.0 	 1.0
18633 	0.333333333333 	0.365700627428 	0.0118163100886 	0.000632511068944 	0.0108374384236 	0.0 	 1.0
18671 	0.666666666667 	0.499850612489 	0.00778802255841 	0.000632511068944 	0.000985221674877 	0.0 	 1.0
18795 	0.333333333333 	0.365700627428 	0.0118163100886 	0.00695762175838 	0.00492610837438 	0.0 	 1.0
19735 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
19976 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
19983 	0.333333333333 	1.0 	0.0 	0.0 	0.0 	0.0 	 1.0
20118 	0.666666666667 	0.501045712578 	0.0 	0.0 	0.0 	0.0 	 1.0
20196 	0.333333333333 	0.354944726621 	0.156745143676 	0.0 	0.0 	0.0 	 1.0
21503 	0.333333333333 	1.0 	0.000179035001343 	0.0 	0.0 	0.0 	 1.0
21509 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
21528 	0.666666666667 	0.500448162534 	0.0 	0.0 	0.0 	0.0 	 1.0
21530 	0.666666666667 	0.499850612489 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
22202 	0.333333333333 	0.365700627428 	0.0118163100886 	0.000632511068944 	0.0108374384236 	0.0 	 1.0
22218 	0.333333333333 	1.0 	8.95175006714e-05 	0.00126502213789 	0.000985221674877 	0.0 	 1.0
22230 	0.333333333333 	0.365700627428 	0.0018798675141 	0.00316255534472 	0.00295566502463 	0.0 	 1.0
22246 	0.333333333333 	0.274275470571 	0.0214842001611 	0.0803289057559 	0.000985221674877 	0.0 	 1.0
22254 	0.333333333333 	0.365700627428 	0.00116372750873 	0.000632511068944 	0.0 	0.0 	 1.0
22294 	0.333333333333 	0.354944726621 	0.156745143676 	0.0 	0.00492610837438 	0.0 	 1.0
22304 	0.666666666667 	0.503137137735 	0.000895175006714 	0.0 	0.0 	0.0 	 1.0
22410 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
22453 	0.333333333333 	1.0 	0.0 	0.000632511068944 	0.000985221674877 	0.0 	 1.0
22550 	0.333333333333 	1.0 	0.0 	0.000632511068944 	0.000985221674877 	0.0 	 1.0
23525 	0.333333333333 	0.365700627428 	0.0018798675141 	0.0 	0.000985221674877 	0.0 	 1.0
24678 	0.666666666667 	0.501045712578 	0.0 	0.0 	0.0 	0.0 	 1.0
25468 	0.666666666667 	0.527636689573 	0.0 	0.000632511068944 	0.0 	0.0 	 1.0
25469 	0.666666666667 	0.533014639976 	0.000179035001343 	0.00126502213789 	0.0 	0.0 	 1.0
25544 	0.666666666667 	0.572452942934 	0.000268552502014 	0.0 	0.0 	0.0 	 1.0
25545 	0.666666666667 	0.506124887959 	0.0 	0.0 	0.0 	0.0 	 1.0
25712 	0.333333333333 	0.354944726621 	0.00420732253155 	0.0 	0.0 	0.0 	 1.0
25824 	0.666666666667 	0.500746937556 	0.0 	0.0 	0.0 	0.0 	 1.0
25831 	0.333333333333 	1.0 	0.0 	0.0 	0.0 	0.0 	 1.0
26052 	0.333333333333 	1.0 	8.95175006714e-05 	0.0 	0.0 	0.0 	 1.0
26228 	0.666666666667 	0.500448162534 	0.0 	0.0 	0.0 	0.0 	 1.0
